Suno ID,Title,Lyrics,Style,Audio Filename,Primary Mood,Duration,BPM,Key,Scale,Loudness,Mood Tags,Rhythm Density,Percussive Shape,Energy Level,groove,Phrase Length,Album Artist,Grouping,Genre,Album/EP,Year,Composer,Artist,Has Cover,Mood Coverage,Focus Category,coord_x,coord_y,energy_norm,brightness_norm,mood_1,mood_2,mood_3,mood_confidence,mood_1_color,last_updated
18,Blank Polaroid,,,blank_polaroid.flac,,59.01,144,B,minor,237.25,Aggressive,0,1.692,3508.17,High,14.75,StudioRich,First Glimpse,"ambient, instrumental",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.8645,0.0014,0.0014,0.8645,Sad,Disoriented,Elusive,0.1167,#26d0d8,2026-03-25
19,Blank Polaroid S1,,,blank_polaroid_s01.flac,,303.63,118,G,major,3636.67,Hopeful,0.39,1.977,206292.28,High,75.91,StudioRich,First Glimpse,"ambient, instrumental",Run Loop,2025,,StudioRich,No,1,Light Concentration,0.6173,0.8059,0.8059,0.6173,Adventurous,Esoteric,Edgy,0.613,#a626d8,2026-03-25
20,Blue Hoodie,,,blue_hoodie.flac,"Dark, Gritty, Haunting, Lonely, Melancholy",148.02,72,F,minor,1739.43,Melancholy,0,0.617,68616.52,Low,37.01,Max,Withdrawal,"ambient, chillwave, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.0182,0.2095,0.2095,0.0182,Vulnerable,Speculative,Magical,0.2915,#2679d8,2026-03-25
21,Blue Hoodie S01,,,blue_hoodie_s01.flac,"Chill, Dreamy, Haunting, Intimate",148.02,72,F,minor,1739.43,Melancholy,0,0.617,68616.52,Low,37.01,Max,Withdrawal,"ambient, chillwave, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.0182,0.2095,0.2095,0.0182,Vulnerable,Speculative,Magical,0.2915,#2679d8,2026-03-25
22,Blur Escape,,,blur_escape.flac,"Dark, Dreamy, Gritty, Intimate, Lonely",140.59,120,Eb,major,2110.62,Hopeful,0.001,1.418,91580.88,High,35.15,Max,Flight,"ambient, experimental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Light Concentration,0.6788,0.3813,0.3813,0.6788,Playful,Complacent,Restless,0.051,#d8c326,2026-03-25
23,Blur Escape S01,,,blur_escape_s01.flac,"Dark, Gritty, Haunting, Playful, Tense",140.59,120,Eb,major,2110.75,,0.01,1.418,91589.3,High,35.15,Max,Flight,"ambient, experimental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,0,Deep Focus,0.6788,0.3841,0.3841,0.6788,Playful,Complacent,Restless,0.0601,#d8c326,2026-03-25
24,Blurred Signal,,,blurred_signal.flac,,134.92,80,C#,minor,1682.27,Melancholy,0,0.471,65278.55,Low,33.73,StudioRich,Memory in Motion,"jungle, lo-fi, nostalgic",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.1061,0.169,0.169,0.1061,Vulnerable,Speculative,Remorseful,0.3026,#2679d8,2026-03-25
25,Blurred Signal S01,,,blurred_signal_s01.flac,,135.74,85,Bb,minor,2154.79,"Dreamy, Melancholy, Nostalgic",0,0.544,94456.15,Low,33.94,StudioRich,Memory in Motion,"jungle, lo-fi, nostalgic",The Way the Air Moves,2025,,StudioRich,No,3,Sleep,0.2612,0.4092,0.4092,0.2612,Sheltered,Remorseful,Liminal,0.0063,#26d82d,2026-03-25
26,Breath Delay II,,,breath_delay_ii.flac,,162.09,120,D,major,2215.11,,0,1.505,98429.88,High,40.52,StudioRich,Opening Air,"ambient, instrumental, lo-fi",The Way the Air Moves,2025,,StudioRich,No,0,Deep Focus,0.6788,0.4288,0.4288,0.6788,Playful,Restless,Complacent,0.1628,#d8c326,2026-03-25
27,Breath Delay II S01,,,breath_delay_ii_s01.flac,,154.19,90,F#,major,2961.47,Chill,0.019,1.56,151828.47,Mid,38.55,StudioRich,Opening Air,"ambient, instrumental, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.4455,0.6885,0.6885,0.4455,Ambivalent,Energetic,Minimalist,0.0533,#d82698,2026-03-25
28,Brotherhood Beat S01,,,brotherhood_beat_s01.flac,,123.8,93,Bb,minor,2513.43,"Dreamy, Nostalgic",0,1.477,118856.92,Mid,30.95,Lucas,Legacy,"chill, indie, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,2,Sleep,0.4832,0.5573,0.5573,0.4832,Affectionate,Grounded,Apprehensive,0.2991,#ccd826,2026-03-25
29,Brotherhood Beat S02,,,brotherhood_beat_s02.flac,,99.77,86,C#,major,1380.39,Chill,0,-0.229,48592.66,Mid,24.94,Lucas,Legacy,"chill, indie, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.3045,0.0601,0.0601,0.3045,Sad,Remorseful,Vulnerable,0.1826,#26d0d8,2026-03-25
30,Brotherhood Beat S03,,,brotherhood_beat_s03.flac,"Cinematic, Dreamy, Intimate, Lonely",136.96,81,Eb,minor,2037.99,"Dreamy, Melancholy, Nostalgic",0,-0.152,86917.56,Low,34.24,Lucas,Legacy,"chillhop, instrumental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,3,Sleep,0.155,0.3534,0.3534,0.155,Vulnerable,Speculative,Magical,0.4794,#2679d8,2026-03-25
31,Brotherhood Beat S04,,,brotherhood_beat_s04.flac,"Cinematic, Comforting, Dreamy, Intimate, Melancholy",135.09,84,D,major,1687.81,Chill,0,1.131,65599.65,Low,33.77,Lucas,Legacy,"chillhop, instrumental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.2095,0.1718,0.1718,0.2095,Vulnerable,Remorseful,Speculative,0.1499,#2679d8,2026-03-25
32,California Sunspot,,,california_sunspot.flac,"Chill, Cinematic, Dark, Dreamy, Gritty, Hopeful, Intimate",110.71,69,Eb,major,1403.25,"Chill, Weightless",0,-0.078,49798.61,Low,27.68,Max,Echo,"electronic, glitch, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,2,Sleep,0.0098,0.0628,0.0628,0.0098,Vulnerable,Speculative,Magical,0.1983,#2679d8,2026-03-25
33,California Sunspot S01,,,california_sunspot_s01.flac,"Cinematic, Dreamy, Gritty, Hopeful, Melancholy, Tense",144.5,94,Bb,major,2514.73,Playful,0,1.348,118948.75,Mid,36.12,Max,Echo,"electronic, glitch, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.4958,0.5601,0.5601,0.4958,Affectionate,Grounded,Apprehensive,0.6662,#ccd826,2026-03-25
34,Cassette Crush,,,cassette_crush.flac,,117.5,144,C,major,2260.13,Aggressive,0,1.431,101430.39,High,29.38,Max,,lo-fi,Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.8645,0.4455,0.4455,0.8645,Languid,Heartfelt,Somber,0.2459,#26afd8,2026-03-25
35,Cassette Gravity,,,cassette_gravity.flac,"Cinematic, Dark, Haunting, Tense",146.12,118,C,minor,3179.33,,0,-2.468,168797.55,High,36.53,Max,Weight,"ambient, experimental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,0,Deep Focus,0.6173,0.7388,0.7388,0.6173,Fearful,Adventurous,Brooding,0.5173,#26d8c5,2026-03-25
36,Cassette Gravity S01,,,cassette_gravity_s01.flac,"Agrressive, Chill, Melancholy, Tense",147.68,78,Ab,minor,2567.67,Melancholy,0,1.998,122705.93,Low,36.92,Max,Weight,"ambient, experimental, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.0503,0.574,0.574,0.0503,Timeless,Incongruous,Disquieted,0.1001,#d8262b,2026-03-25
37,Celestial Drift,,,celestial_drift.flac,,191.96,80,Eb,major,4748.15,Chill,0,1.48,307149.56,Low,47.99,Eno,,"ambient, electronic, experimental",Eunoia,2025,,StudioRich,No,1,Deep Focus,0.1061,0.9148,0.9148,0.1061,Despondent,Soothing,Unfolding,0.0946,#2669d8,2026-03-25
38,Cherry Sparkles,,,cherry_sparkles.flac,,120,80,A,minor,1822.45,"Dreamy, Melancholy, Nostalgic",0,-1.605,73561.39,Low,30,Max,,lo-fi,Stranger Vibes,2025,,StudioRich,Yes,3,Sleep,0.1061,0.2472,0.2472,0.1061,Vulnerable,Speculative,Magical,0.4457,#2679d8,2026-03-25
39,Chrono Horizon,,,chrono_horizon.flac,,240,120,Ab,major,5035.66,Hopeful,0,1.82,335318,High,60,Eno,,"ambient, electronic, experimental",Eunoia,2025,,StudioRich,No,1,Light Concentration,0.6788,0.9344,0.9344,0.6788,Esoteric,Belligerent,Adventurous,0.0832,#d826c9,2026-03-25
40,Circuit Grove,,,circuit_grove.flac,,240,139,G,major,5441.29,,0,1.362,376421.16,High,60,Eno,,"ambient, electronic, experimental",Eunoia,2025,,StudioRich,No,0,Deep Focus,0.8296,0.9511,0.9511,0.8296,Untroubled,Esoteric,Proleptic,0.2318,#75d826,2026-03-25
41,Cloud Rust,,,cloud_rust.flac,,107.48,90,F#,major,1612.18,Chill,0,1.564,61260.84,Mid,26.87,StudioRich,Descent & Fade,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.4455,0.1522,0.1522,0.4455,Sad,Balanced,Experimental,0.2447,#26d0d8,2026-03-25
42,Cloud Rust S01,,,cloud_rust_s01.flac,,184.45,90,D,major,2990.63,Chill,0,1.329,154065.59,Mid,46.11,StudioRich,Descent & Fade,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.4455,0.7025,0.7025,0.4455,Ambivalent,Energetic,Transcendental,0.2525,#d82698,2026-03-25
43,Cloudtype II,,,cloudtype_ii.flac,,123.9,140,B,major,3295.11,Aggressive,0,1.137,178054.38,High,30.98,StudioRich,Opening Air,"ambient, chillout, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.8408,0.7584,0.7584,0.8408,Proleptic,Untroubled,Dreamy,0.4025,#d826c3,2026-03-25
44,Cloudtype II S01,,,cloudtype_ii_s01.flac,,182.32,80,F#,major,3701.7,Chill,0,1.686,211822.22,Low,45.58,StudioRich,Opening Air,"chillout, lo-fi, lo-fiambient",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.1061,0.8226,0.8226,0.1061,Eerie,Unfolding,Soothing,0.0875,#26d8af,2026-03-25
45,Continuum Sky,,,continuum_sky.flac,,240,88,C,minor,5470.16,"Dreamy, Nostalgic",0,1.506,379406.56,Mid,60,Eno,,"ambient, electronic, experimental",Eunoia,2025,,StudioRich,No,2,Sleep,0.3869,0.9539,0.9539,0.3869,Tense,Peaceful,Belligerent,0.008,#d83626,2026-03-25
46,Crush Memory Rush,,,crush_memory_rush.flac,,314.96,87,B,major,4204.85,Chill,0,0.487,256202.48,Mid,78.74,StudioRich,Everything Speeds Up,"ambient, jungle, r&b",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.3408,0.8645,0.8645,0.3408,Peaceful,Paranoid,Serene,0.0242,#4ad826,2026-03-25
47,Crush Memory Rush S1,,,crush_memory_rush_s01.flac,,277.4,83,Eb,major,4449.17,Chill,0,1.838,278735.38,Low,69.35,StudioRich,Everything Speeds Up,"ambient, jungle, r&b",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.1802,0.8841,0.8841,0.1802,Despondent,Paranoid,Hypnotic,0.2184,#2669d8,2026-03-25
48,Crush.exe,,,crush.exe.flac,,245.89,156,F#,major,3380.62,Aggressive,0,1.763,184994.58,High,61.47,StudioRich,Everything Speeds Up,"electronic, glitch, jungle",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.926,0.764,0.764,0.926,Proleptic,At Ease,Raw,0.0326,#d826c3,2026-03-25
49,Crush.exe S1,,,crush.exe_s01.flac,,214.92,90,Eb,major,3684.35,Chill,0,2.107,210341.92,Mid,53.73,StudioRich,Everything Speeds Up,"electronic, glitch, jungle",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.4455,0.817,0.817,0.4455,Tense,Peaceful,Rebellious,0.3083,#d83626,2026-03-25
50,Cryloop.exe,,,cryloop.exe.flac,,161.96,84,F#,minor,2859.67,"Dreamy, Melancholy, Nostalgic",0,1.375,144105.22,Low,40.49,StudioRich,Memory in Motion,"experimental, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,3,Sleep,0.2095,0.6494,0.6494,0.2095,Futuristic,Transcendent,Liberated,0.0673,#d826be,2026-03-25
51,Cryloop.exe S01,,,cryloop.exe_s01.flac,,163.27,83,G,minor,2153.8,"Dreamy, Melancholy, Nostalgic",0,1.698,94391.33,Low,40.82,StudioRich,Memory in Motion,"experimental, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,3,Sleep,0.1802,0.4064,0.4064,0.1802,Speculative,Magical,Hopeful,0.8254,#b726d8,2026-03-25
52,Dream Sprint,,,dream_sprint.flac,,266.77,87,F,minor,3267.15,"Dreamy, Nostalgic",0,2.259,175804.06,Mid,66.69,StudioRich,Everything Speeds Up,"electronic, jungle, synthpop",Run Loop,2025,,StudioRich,No,2,Sleep,0.3408,0.7556,0.7556,0.3408,Serene,Peaceful,Unsettled,0.701,#26d858,2026-03-25
53,Dream Sprint S1,,,dream_sprint_s01.flac,,223.44,87,E,minor,2471.91,"Dreamy, Nostalgic",0,1.329,115938.45,Mid,55.86,StudioRich,Everything Speeds Up,"electronic, jungle, synthpop",Run Loop,2025,,StudioRich,No,2,Sleep,0.3408,0.5405,0.5405,0.3408,Resigned,Satiated,Exuberant,0.5525,#267fd8,2026-03-25
54,Dreams In Rewind,,,dreams_in_rewind.flac,,135.57,113,Ab,minor,2833.49,,0,1.205,142141,High,33.89,Max,,lo-fi,Stranger Vibes,2025,,StudioRich,Yes,0,Deep Focus,0.5908,0.6411,0.6411,0.5908,Analog,Creeping,Defiant,0.6506,#d82672,2026-03-25
55,Drift Return,,,drift_return.flac,,186.01,116,C#,minor,1660.98,,0,-2.016,64049.25,High,46.5,StudioRich,Endless Loop,"ambient, electronic",Run Loop,2025,,StudioRich,No,0,Deep Focus,0.6006,0.1634,0.1634,0.6006,Sad,Balanced,Fantastical,0.3488,#26d0d8,2026-03-25
56,Drift Return S1,,,drift_return_s01.flac,,215,100,B,major,3648.05,Playful,0,1.484,207256.91,Mid,53.75,StudioRich,Endless Loop,"ambient, electronic",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.5251,0.8115,0.8115,0.5251,Hallucinatory,Connected,Adventurous,0.6944,#6526d8,2026-03-25
57,Drift Tempo,,,drift_tempo.flac,,129.41,150,Ab,major,1961.41,Aggressive,0,1.536,82088.12,High,32.35,StudioRich,Emotional Lift,"jungle, lo-fi, piano",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.8953,0.3115,0.3115,0.8953,Disoriented,Subdued,Elusive,0.3754,#26d8cb,2026-03-25
58,Drift Tempo S01,,,drift_tempo_s01.flac,,169.82,87,B,minor,2017.65,"Dreamy, Nostalgic",0,1.346,85625.73,Mid,42.45,StudioRich,Emotional Lift,"jungle, lo-fi, piano",The Way the Air Moves,2025,,StudioRich,No,2,Sleep,0.3408,0.3394,0.3394,0.3408,Remorseful,Sheltered,Haunting,0.1884,#2689d8,2026-03-25
59,Driveway Fadeout,,,driveway_fadeout.flac,"Dreamy, Intimate, Nostalgic",91.68,83,Bb,major,1302.27,Chill,0,1.351,44545.79,Low,22.92,Max,Echo,"electronic, glitch, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.1802,0.0405,0.0405,0.1802,Vulnerable,Remorseful,Speculative,0.1342,#2679d8,2026-03-25
60,Driveway Fadeout S01,,,driveway_fadeout_s01.flac,"Agrressive, Cinematic, Dark, Energetic, Gritty",91.68,83,Bb,major,1302.38,Chill,0,1.351,44551.61,Low,22.92,Max,Echo,"electronic, glitch, lo-fi",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.1802,0.0433,0.0433,0.1802,Vulnerable,Remorseful,Speculative,0.1355,#2679d8,2026-03-25
61,Dustins Compass,,,dustins_compass.flac,,143,120,F#,major,1148.72,Hopeful,0,1.322,36938.82,High,35.75,Eleven,Bonds & Bikes,"ambient, chillhop, lo-fi",Stranger Vibes,2025,,StudioRich,No,1,Light Concentration,0.6788,0.0209,0.0209,0.6788,Sad,Fantastical,Disoriented,0.6921,#26d0d8,2026-03-25
62,Dustins Compass S01,,,dustins_compass_s01.flac,,185.88,121,Ab,minor,2443.29,Tense,0.006,1.201,113940.92,High,46.47,Eleven,Bonds & Bikes,"ambient, chillhop, lo-fi",Stranger Vibes,2025,,StudioRich,No,1,Deep Focus,0.7304,0.5237,0.5237,0.7304,Restless,Somber,Novel,0.3714,#d83126,2026-03-25
63,Echo Apartments,,,echo_apartments.flac,,116.19,118,F,major,577.52,Hopeful,0,1.838,13235.51,High,29.05,StudioRich,First Glimpse,"ambient, jazz",Run Loop,2025,,StudioRich,No,1,Light Concentration,0.6173,0.007,0.007,0.6173,Sad,Balanced,Fantastical,0.8403,#26d0d8,2026-03-25
64,Echo Apartments S1,,,echo_apartments_s01.flac,,229.74,109,C,minor,1632.41,Dreamy,0.001,1.127,62411.87,Mid,57.44,StudioRich,First Glimpse,"ambient, jazz",Run Loop,2025,,StudioRich,No,1,Sleep,0.5628,0.1578,0.1578,0.5628,Sad,Balanced,Fantastical,0.3722,#26d0d8,2026-03-25
65,Echo Float,,,echo_float.flac,,181.2,80,Bb,major,2909.67,Chill,0,-1.901,147882.08,Low,45.3,StudioRich,Opening Air,"dream pop, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.1061,0.6634,0.6634,0.1061,Weightless,Uncanny,Unfolding,0.5613,#263dd8,2026-03-25
66,Echo Float S01,,,echo_float_s01.flac,,159.72,85,Ab,minor,2346.04,"Dreamy, Melancholy, Nostalgic",0,1.393,107238.77,Low,39.93,StudioRich,Opening Air,"dream pop, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,3,Sleep,0.2612,0.4818,0.4818,0.2612,Liminal,Innovative,Exuberant,0.7145,#2643d8,2026-03-25
67,Echoes Of Nostalgia,,,echoes_of_nostalgia.flac,"Cinematic, Dreamy, Hopeful, Weightless",240,142,G,major,6867.97,Aggressive,0,1.432,532855.62,High,60,Eleven,,lo-fi,Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.852,0.9846,0.9846,0.852,Untroubled,Esoteric,Belligerent,0.1861,#75d826,2026-03-25
68,Echoes Of Time S01,,,echoes_of_time_s01.flac,"Chill, Cinematic, Gritty, Lonely, Tense",180.2,128,A,minor,4821.05,Tense,0,1.063,314214.19,High,45.05,Eleven,Primer,"ambient, electronic, experimental",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.7654,0.9176,0.9176,0.7654,Untroubled,Esoteric,Adventurous,0.192,#75d826,2026-03-25
69,Echoes Of Time S03,,,echoes_of_time_s03.flac,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic",213,129,C#,minor,5317.3,Tense,0,-0.563,363691.72,High,53.25,Eleven,Primer,"ambient, electronic, experimental",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.7765,0.9455,0.9455,0.7765,Untroubled,Esoteric,Belligerent,0.1473,#75d826,2026-03-25
70,Edge of Remembering,,,edge_of_remembering.flac,,152.53,101,A,major,1575.54,"Hopeful, Playful",0,-2.08,59194.41,Mid,38.13,StudioRich,Emotional Blur,"ambient, indie",Run Loop,2025,,StudioRich,No,2,Light Concentration,0.5377,0.1383,0.1383,0.5377,Sad,Balanced,Fantastical,0.4733,#26d0d8,2026-03-25
71,Edge of Remembering S1,,,edge_of_remembering_s01.flac,,159.96,120,D,major,2407.43,Hopeful,0,1.506,111453.7,High,39.99,StudioRich,Emotional Blur,"ambient, indie",Run Loop,2025,,StudioRich,No,1,Light Concentration,0.6788,0.5126,0.5126,0.6788,Restless,Frenzied,Playful,0.6049,#d83126,2026-03-25
72,Eggo Reverie,,,eggo_reverie.flac,,172.84,120,G,minor,1455.58,,0,1.787,52595.61,High,43.21,Eleven,Forest Light,"ambient, cinematic, lo-fi",Stranger Vibes,2025,,StudioRich,No,0,Deep Focus,0.6788,0.0824,0.0824,0.6788,Sad,Fantastical,Balanced,0.5779,#26d0d8,2026-03-25
73,Eggo Reverie S01,,,eggo_reverie_s01.flac,,197.55,120,E,minor,1205.9,Tense,0,2.146,39716.73,High,49.39,Eleven,Forest Light,"ambient, cinematic, lo-fi",Stranger Vibes,2025,,StudioRich,No,1,Deep Focus,0.6788,0.0265,0.0265,0.6788,Sad,Fantastical,Disoriented,0.6855,#26d0d8,2026-03-25
74,Ember Channel,,,ember_channel.flac,,127.96,90,F#,major,1733.15,Playful,0,0.665,68246.74,Mid,31.99,StudioRich,Descent & Fade,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.4455,0.2025,0.2025,0.4455,Balanced,Experimental,Sad,0.0898,#3ad826,2026-03-25
75,Ember Channel S01,,,ember_channel_s01.flac,,107.96,80,C#,major,1529.53,Chill,0,1.077,56633.02,Low,26.99,StudioRich,Descent & Fade,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.1061,0.1159,0.1159,0.1061,Vulnerable,Speculative,Remorseful,0.2464,#2679d8,2026-03-25
